"anio";"mes";"demanda";"precio";"cobertura";"cmo";"tipo_cambio";"fecha";"valor_energia";"post_reforma";"cmo_usd";"gap"
2018;1;12350,183342;76,04;0,590038477925493;1541,51237903226;19,6525;2018-01-01;939107,94132568;0;78,4384876749655;-2,39848767496552
2018;2;11404,202907;76,38;0,670729046845268;1933,57852678571;20,115;2018-02-01;871053,01803666;0;96,1262006853448;-19,7462006853448
2018;3;11247,242147;74,73;0,686802663024054;1735,31922043011;20,1433;2018-03-01;840506,40564531;0;86,1487055462665;-11,4187055462665
2018;4;10493,314602;76,65;0,65058589449262;1411,46740277778;20,6917;2018-04-01;804312,5642433;0;68,2141826325425;8,43581736745749
2018;5;10665,461535;78,15;0,52765561409797;1483,45762096774;24,9475;2018-05-01;833505,81896025;0;59,4631775114837;18,6868224885163
2018;6;11925,912373;86,27;0,412757437016422;3228,86673611111;28,8617;2018-06-01;1028848,46041871;0;111,873754356504;-25,603754356504
2018;7;12607,552746;91,84;0,411369472702911;3360,75926075269;27,3425;2018-07-01;1157877,64419264;0;122,913386148037;-31,0733861480366
2018;8;11721,305146;63,57;0,617193838810858;2568,60869623656;37,125;2018-08-01;745123,36813122;0;69,188113029941;-5,61811302994101
2018;9;9792,369117;71,43;0,501736252199446;1768,68958333333;40,8967;2018-09-01;699468,92602731;0;43,2477335172112;28,1822664827888
2018;10;9904,218691;75,16;0,539716243648193;1669,06412634409;36,1967;2018-10-01;744401,07681556;0;46,1109473058066;29,0490526941934
2018;11;10035,149399;68,81;0,565230518846805;1579,04718055555;38,0217;2018-11-01;690518,63014519;0;41,5301572669173;27,2798427330827
2018;12;10863,012561;68,81;0,563649322169193;1582,50145161291;37,8083;2018-12-01;747483,89432241;0;41,8559271803522;26,9540728196478
2019;1;11698,820402;65,22;0,664965646510106;1571,33064516129;37,035;2019-01-01;762997,06661844;0;42,4282609737084;22,7917390262916
2019;2;10706,955317;72,14;0,77402994163573;1898,20897321429;38,9983;2019-02-01;772399,75656838;0;48,6741466477844;23,4658533522156
2019;3;10120,057936;65,15;0,770873525170136;1349,72041666667;43,3533;2019-03-01;659321,7745304;0;31,1330490796934;34,0169509203066
2019;4;9572,130645;68,12;0,721916462948339;1484,76588888889;44,01;2019-04-01;652053,5395374;0;33,7370117902497;34,3829882097503
2019;5;10382,062156;68,9;0,714205046076715;2165,28779569892;44,87;2019-05-01;715324,0825484;0;48,2569154379077;20,6430845620923
2019;6;10649,85454;78,48;0,659775077161651;3717,95143055556;42,4483;2019-06-01;835800,5842992;0;87,5877580622913;-9,1077580622913
2019;7;12004,210187;79,75;0,620285160217017;3708,3414516129;43,8692;2019-07-01;957335,76241325;0;84,5317774569151;-4,78177745691511
2019;8;11465,483299;69,23;0,548579249335031;2936,84033602151;59,075;2019-08-01;793755,40878977;0;49,7137593909693;19,5162406090307
2019;9;10218,087823;71,07;0,556263590806421;3379,26131944444;57,5583;2019-09-01;726199,50158061;0;58,7102350042381;12,3597649957619
2019;10;10380,532236;66,72;0,570676000943433;2981,59627688171;59,7267;2019-10-01;692589,11078592;0;49,9206598871478;16,7993401128522
2019;11;10559,966155;63,86;0,597984960267846;2044,15031944445;59,8633;2019-11-01;674359,4386583;0;34,146970171114;29,713029828886
2019;12;11187,742677;63,69;0,595850588169637;1876,64364247311;59,895;2019-12-01;712547,33109813;0;31,332225435731;32,357774564269
2020;1;11993,867057;60,96;0,610353029796025;2344,38876344086;60,3312;2020-01-01;731146,13579472;0;38,8586463296082;22,1013536703918
2020;2;10843,47443;65,54;0,561693008607075;3264,14966954022;62,208;2020-02-01;710681,3141422;0;52,4715417557263;13,0684582442737
2020;3;11144,232192;61,02;0,575122454799947;3397,45118279569;64,4697;2020-03-01;680021,04835584;0;52,6984177496667;8,32158225033326
2020;4;8537,200407;56;0,601177277798058;1172,18702777778;66,835;2020-04-01;478083,222792;0;17,5385206520204;38,4614793479796
2020;5;9617,328172;57;0,570252937499513;2123,45481182795;68,535;2020-05-01;548187,705804;0;30,9835093284884;26,0164906715116
2020;6;10781,714873;64,48;0,487663903541058;3812,78234722222;70,455;2020-06-01;695204,97501104;0;54,1165615956599;10,3634384043401
2020;7;12183,852641;66;0,459130305638574;6440,42150537636;72,315;2020-07-01;804134,274306;0;89,0606583056954;-23,0606583056954
2020;8;10728,379158;64,02;0,469349733597983;4664,6310483871;74,175;2020-08-01;686830,83369516;0;62,8868358393947;1,13316416060532
2020;9;10045,02285;56,97;0,520999111054038;2781,29584722222;76,175;2020-09-01;572264,9517645;0;36,5119244794515;20,4580755205485
2020;10;10013,844018;53,98;0,534176163048555;2254,99399193548;78,3283;2020-10-01;540547,30009164;0;28,7890071907022;25,1909928092978
2020;11;10087,844439;53,01;0,528983728310169;3077,77558333333;81,2967;2020-11-01;534756,63371139;0;37,8585549392943;15,1514450607057
2020;12;11330,177614;54,95;0,486705049219737;4628,68528225806;84,145;2020-12-01;622593,2598893;0;55,0084411701;-0,0584411700999539
2021;1;11941,581005;59,99;0,429360082006041;4682,11202956988;87,2983;2021-01-01;716375,44448995;0;53,6334846104664;6,35651538953358
2021;2;10090,389329;60,04;0,425394453715162;3885,4394345238;89,825;2021-02-01;605826,97531316;0;43,2556574953944;16,7843425046056
2021;3;11055,214534;59,97;0,412732173512008;5868,44487903224;91,985;2021-03-01;662981,21560398;0;63,7978461600504;-3,82784616005045
2021;4;9817,737907;69,98;0,402220829908659;8590,21018055554;93,555;2021-04-01;687045,29873186;0;91,8198939720543;-21,8398939720543
2021;5;10986,114089;74,53;0,360365062331297;10166,0296370967;94,685;2021-05-01;818795,08305317;0;107,36684413684;-32,8368441368401
2021;6;12053,804255;86,5;0,301215879674706;11307,4471944444;95,7267;2021-06-01;1042654,0680575;0;118,122187377653;-31,6221873776533
2021;7;12418,960395;87,96;0,29168992563856;10594,9173924731;96,685;2021-07-01;1092371,7563442;0;109,581810957988;-21,6218109579883
2021;8;11660,287802;86,52;0,314732848119908;9905,22530913979;97,7517;2021-08-01;1008848,10062904;0;101,330465957521;-14,8104659575208
2021;9;10374,79408;78,48;0,352720171519272;10197,22875;98,735;2021-09-01;814213,8393984;0;103,278763862865;-24,7987638628652
2021;10;10451,324193;67,46;0,409303184026514;7893,96930107526;99,7217;2021-10-01;705046,33005978;0;79,1599952776102;-11,6999952776102
2021;11;10569,433751;65,48;0,419084735721265;9082,45369444445;100,925;2021-11-01;692086,52201548;0;89,9921099276141;-24,5121099276141
